batch_size-4096|learning_rate-0.0008|message_length-16|num_iters-100000|optimizer-Adam
iteration,abLoss,eLoss,eveIncorrect,abIncorrect
20700,1.87224,0.259975,0.259975,0.000110778
20800,1.87202,0.260388,0.260388,9.233e-05
20900,1.87238,0.259651,0.259651,9.61367e-05
21000,1.87185,0.260726,0.260726,8.4015e-05
21100,1.87268,0.258999,0.258999,8.49623e-05
21200,1.87198,0.260448,0.260448,8.54204e-05
21300,1.87234,0.259686,0.259686,7.71033e-05
21400,1.87222,0.25993,0.25993,7.7283e-05
21500,1.87226,0.259846,0.259846,7.37149e-05
21600,1.87193,0.260538,0.260538,7.43104e-05
21700,1.87252,0.259302,0.259302,6.96113e-05
21800,1.87227,0.259831,0.259831,7.07144e-05
21900,1.87213,0.2601,0.2601,6.35557e-05
22000,1.87193,0.260502,0.260502,6.32063e-05
22100,1.87242,0.259499,0.259499,6.25071e-05
22200,1.87201,0.26034,0.26034,5.90431e-05
22300,1.87215,0.260042,0.260042,5.73332e-05
22400,1.87187,0.260612,0.260612,5.46514e-05
22500,1.87209,0.260163,0.260163,5.31808e-05
22600,1.87205,0.260227,0.260227,5.1321e-05
22700,1.8722,0.259928,0.259928,4.99027e-05
22800,1.87191,0.260525,0.260525,4.80686e-05
22900,1.872,0.260342,0.260342,5.14221e-05
23000,1.8723,0.259709,0.259709,4.49409e-05
23100,1.87181,0.260718,0.260718,4.44696e-05
23200,1.87218,0.259941,0.259941,4.41044e-05
23300,1.87202,0.260283,0.260283,4.11526e-05
23400,1.87176,0.260824,0.260824,4.15643e-05
23500,1.87213,0.260047,0.260047,3.92798e-05
23600,1.87218,0.25996,0.25996,4.7735e-05
23700,1.87198,0.260342,0.260342,3.62154e-05
23800,1.87245,0.259376,0.259376,3.53013e-05
23900,1.87186,0.26061,0.26061,3.6712e-05
24000,1.87197,0.260362,0.260362,3.3291e-05
24100,1.87136,0.261613,0.261613,3.20875e-05
24200,1.87195,0.260396,0.260396,3.06863e-05
24300,1.87208,0.26014,0.26014,3.51321e-05
24400,1.87187,0.260569,0.260569,3.05538e-05
24500,1.87186,0.260594,0.260594,3.22105e-05
24600,1.8719,0.260559,0.260559,5.39905e-05
24700,1.87197,0.260355,0.260355,2.61646e-05
24800,1.8721,0.260091,0.260091,3.23423e-05
24900,1.8722,0.259886,0.259886,2.82136e-05
25000,1.87222,0.259825,0.259825,2.44811e-05
25100,1.87203,0.260212,0.260212,2.45088e-05
25200,1.87226,0.259739,0.259739,2.29529e-05
25300,1.87165,0.261018,0.261018,3.16811e-05
25400,1.87185,0.26059,0.26059,2.31622e-05
25500,1.87209,0.26008,0.26008,2.10524e-05
25600,1.87176,0.260786,0.260786,3.13446e-05
25700,1.87171,0.260871,0.260871,1.92779e-05
25800,1.87209,0.260083,0.260083,2.2803e-05
25900,1.87212,0.260031,0.260031,1.81357e-05
26000,1.87195,0.260378,0.260378,1.79912e-05
26100,1.87203,0.260208,0.260208,1.76868e-05
26200,1.87211,0.260041,0.260041,1.63518e-05
26300,1.87203,0.260207,0.260207,1.82505e-05
26400,1.87213,0.260001,0.260001,1.59669e-05
26500,1.87181,0.260667,0.260667,1.95604e-05
26600,1.87213,0.260002,0.260002,1.76592e-05
26700,1.87132,0.261677,0.261677,1.57186e-05
26800,1.87148,0.261336,0.261336,1.36807e-05
26900,1.87204,0.260192,0.260192,1.73194e-05
27000,1.87179,0.260687,0.260687,1.28906e-05
27100,1.87173,0.260829,0.260829,1.28031e-05
27200,1.87189,0.260494,0.260494,1.34314e-05
27300,1.87181,0.260651,0.260651,1.23418e-05
27400,1.87196,0.26034,0.26034,1.20539e-05
27500,1.87174,0.260794,0.260794,1.1157e-05
27600,1.87092,0.262481,0.262481,1.30838e-05
27700,1.87177,0.260744,0.260744,1.52527e-05
27800,1.87202,0.260207,0.260207,1.16853e-05
27900,1.8717,0.260864,0.260864,1.07897e-05
28000,1.87174,0.26079,0.26079,9.53419e-06
28100,1.87136,0.261572,0.261572,9.3639e-06
28200,1.87202,0.260216,0.260216,9.07475e-06
28300,1.87183,0.2606,0.2606,9.29678e-06
28400,1.87231,0.259611,0.259611,8.26534e-06
28500,1.87131,0.261673,0.261673,8.43735e-06
28600,1.87178,0.260746,0.260746,2.44188e-05
28700,1.87182,0.260617,0.260617,7.67111e-06
28800,1.87122,0.261857,0.261857,7.93136e-06
28900,1.87178,0.260703,0.260703,7.43592e-06
29000,1.87178,0.260709,0.260709,6.84581e-06
29100,1.87181,0.260649,0.260649,6.82436e-06
29200,1.87127,0.261763,0.261763,7.11276e-06
29300,1.87174,0.260784,0.260784,6.22872e-06
29400,1.87162,0.26103,0.26103,6.02221e-06
29500,1.87151,0.261268,0.261268,5.90947e-06
29600,1.8716,0.261062,0.261062,5.74896e-06
29700,1.87169,0.260895,0.260895,5.88817e-06
29800,1.87188,0.260485,0.260485,5.24906e-06
29900,1.87173,0.2608,0.2608,6.84575e-06
30000,1.87172,0.260827,0.260827,6.03756e-06
30100,1.87152,0.261234,0.261234,5.95126e-06
30200,1.87196,0.260318,0.260318,5.20142e-06
30300,1.87173,0.260809,0.260809,4.61512e-06
30400,1.87215,0.259942,0.259942,4.73966e-06
